2011-03-03 14:02:19|vdc_db_query|00280|1062|Duplicate entry '1299178904.182104' for key 'PRIMARY'|INSERT INTO vicidial_log (uniqueid,lead_id,list_id,campaign_id,call_date,start_epoch,status,phone_code,phone_number,user,comments,processed,user_group,alt_dial) values('1299178904.182104','2546892','45257','10003','2011-03-03 14:02:19','1299178939','DONEM','1','7044852800','detienne','MANUAL','N','','MAIN');|detienne|10.11.20.47|1299176207_150496defa16265135|
2011-03-03 15:40:21|vdc_db_query|00280|1062|Duplicate entry '1299184781.190674' for key 'PRIMARY'|INSERT INTO vicidial_log (uniqueid,lead_id,list_id,campaign_id,call_date,start_epoch,status,phone_code,phone_number,user,comments,processed,user_group,alt_dial) values('1299184781.190674','2546704','45257','10003','2011-03-03 15:40:21','1299184821','DONEM','1','5752585816','jstennett','MANUAL','N','','MAIN');|jstennett|10.11.20.47|1299182130_150425defa10743459|
2011-03-07 15:23:55|vdc_db_query|00280|1062|Duplicate entry '1299529313.259607' for key 'PRIMARY'|INSERT INTO vicidial_log (uniqueid,lead_id,list_id,campaign_id,call_date,start_epoch,status,phone_code,phone_number,user,comments,processed,user_group,alt_dial) values('1299529313.259607','2594732','45264','10004','2011-03-07 15:23:54','1299529434','DONEM','1','6063252111','kengland','MANUAL','N','','MAIN');|kengland|10.11.20.47|1299521751_150500defa14454192|
2011-03-08 13:14:26|vdc_db_query|00147|1062|Duplicate entry '7702312511' for key 'PRIMARY'|INSERT INTO vicidial_dnc (phone_number) values('7702312511');|61407|10.11.20.47|1299606494_150462defa14265148|
2011-03-08 13:14:26|vdc_db_query|00149|1062|Duplicate entry '7702312511-10043' for key 'phonecamp'|INSERT INTO vicidial_campaign_dnc (phone_number,campaign_id) values('7702312511','10043');|61407|10.11.20.47|1299606494_150462defa14265148|
2011-03-10 12:14:20|vdc_db_query|00280|1062|Duplicate entry '1299777224.400919' for key 'PRIMARY'|INSERT INTO vicidial_log (uniqueid,lead_id,list_id,campaign_id,call_date,start_epoch,status,phone_code,phone_number,user,comments,processed,user_group,alt_dial) values('1299777224.400919','2595110','45264','10004','2011-03-10 12:14:20','1299777260','DONEM','1','7068655705','jalvarez','MANUAL','N','','MAIN');|jalvarez|10.11.20.47|1299765812_150424defa16436540|
2011-03-11 12:28:24|vdc_db_query|00280|1062|Duplicate entry '1299864468.457463' for key 'PRIMARY'|INSERT INTO vicidial_log (uniqueid,lead_id,list_id,campaign_id,call_date,start_epoch,status,phone_code,phone_number,user,comments,processed,user_group,alt_dial) values('1299864468.457463','2558140','45257','10003','2011-03-11 12:28:24','1299864504','DONEM','1','6603684794','pstanley','MANUAL','N','','MAIN');|pstanley|10.11.20.47|1299862457_150429defa12195296|
2011-03-11 15:38:37|vdc_db_query|00280|1062|Duplicate entry '1299875870.475436' for key 'PRIMARY'|INSERT INTO vicidial_log (uniqueid,lead_id,list_id,campaign_id,call_date,start_epoch,status,phone_code,phone_number,user,comments,processed,user_group,alt_dial) values('1299875870.475436','2562579','45257','10003','2011-03-11 15:38:37','1299875917','DONEM','1','5804723244','mviera','MANUAL','N','','MAIN');|mviera|10.11.20.47|1299873337_150428defa15804976|
2011-03-22 14:17:49|vdc_db_query|00279|1062|Duplicate entry '1300817801.902050' for key 'PRIMARY'|INSERT INTO vicidial_log (uniqueid,lead_id,list_id,campaign_id,call_date,start_epoch,status,phone_code,phone_number,user,comments,processed,user_group,alt_dial) values('1300817801.902050','2634225','998','10043','2011-03-22 14:17:49','1300817869','INCALL','1','5153826691','kcollington','MANUAL','N','30031','MAIN');|kcollington|10.11.20.47|1300817760_150458defa11988599|
2011-03-25 11:08:51|vdc_db_query|00279|1062|Duplicate entry '1301065709.1081241' for key 'PRIMARY'|INSERT INTO vicidial_log (uniqueid,lead_id,list_id,campaign_id,call_date,start_epoch,status,phone_code,phone_number,user,comments,processed,user_group,alt_dial) values('1301065709.1081241','2567124','45257','10003','2011-03-25 11:08:51','1301065731','INCALL','1','7177383188','cray','MANUAL','N','30012','MAIN');|cray|10.11.20.47|1301058388_150499defa18388051|
2011-03-25 11:08:58|vdc_db_query|00280|1062|Duplicate entry '1301065709.1081241' for key 'PRIMARY'|INSERT INTO vicidial_log (uniqueid,lead_id,list_id,campaign_id,call_date,start_epoch,status,phone_code,phone_number,user,comments,processed,user_group,alt_dial) values('1301065709.1081241','2567124','45257','10003','2011-03-25 11:08:57','1301065737','DONEM','1','7177383188','cray','MANUAL','N','','MAIN');|cray|10.11.20.47|1301058388_150499defa18388051|
